numero, borough, names
101, Manhattan, "Civic Center - Wall Street - Governors Island - Liberty Island - Ellis Island - Tribeca"
102, Manhattan, "Greenwich Village - Noho - Soho - Little Italy"
103, Manhattan, "Lower East Side - Chinatown - Two Bridges"
104, Manhattan, "Chelsea - Clinton"
105, Manhattan, "Midtown - Times Square - Herald Square - Midtown South"
106, Manhattan, "Murray Hill - East Midtown - Stuyvesant Town"
107, Manhattan, "Lincoln Square - Upper West Side"
108, Manhattan, "Upper East Side - Lenox Hill - Yorkville - Roosevelt Island"
109, Manhattan, "West Harlem - Morningside Heights - Manhattanville - Hamilton Heights"
110, Manhattan, "Central Harlem"
111, Manhattan, "East Harlem"
112, Manhattan, "Washington Heights - Inwood"
164, Manhattan, "Park"
201, Bronx, "Mott Haven - Melrose - Port Morris"
202, Bronx, "Hunts Point - Longwood"
203, Bronx, "Melrose - Morrisania - Claremont - Crotona Park East"
204, Bronx, "Highbridge - Concourse"
205, Bronx, "Morris Heights - University Heights - Fordham - Mt. Hope"
206, Bronx, "East Tremont - Bathgate - Belmont - West Farms"
207, Bronx, "Kingsbridge Heights. - Bedford Park - Fordham - University Heights"
208, Bronx, "Kingsbridge - Riverdale - Marble Hill - Fieldston"
209, Bronx, "Soundview - Castle Hill - Union Port - Parkchester"
210, Bronx, "Throgs Neck - Pelham Bay - Co-op City - Westchester Square - City Island"
211, Bronx, "Morris Park - Pelham Parkway - Bronxdale - Van Nest - Laconia"
212, Bronx, "Williamsbridge - Baychester - Woodlawn - Wakefield - Eastchester"
226, Bronx, "Park"
227, Bronx, "Park"
228, Bronx, "Park"
301, Brooklyn, "Greenpoint - Williamsburg"
302, Brooklyn, "Downtown Brooklyn - Fort Greene - Brooklyn Heights - Boerum Hill"
303, Brooklyn, "Bedford Stuyvesant - Tompkins Park North - Stuyvesant Heights"
304, Brooklyn, "Bushwick"
305, Brooklyn, "East New York - New Lots - City Line - Starrett City"
306, Brooklyn, "Red Hook - Park Slope - Gowanus - Carroll Gardens - Cobble Hill"
307, Brooklyn, "Sunset Park - Windsor Terrace"
308, Brooklyn, "Crown Heights - Prospect Heights - Weeksville"
309, Brooklyn, "Crown Heights South - Prospect Lefferts Gardens - Wingate"
310, Brooklyn, "Bay Ridge - Dyker Heights - Fort Hamilton"
311, Brooklyn, "Bensonhurst - Mapleton - Bath Beach - Gravesend"
312, Brooklyn, "Borough Park - Ocean Parkway - Kensington"
313, Brooklyn, "Coney Island - Brighton Beach - Gravesend - Homecrest - Seagate"
314, Brooklyn, "Flatbush - Ocean Parkway - Midwood"
315, Brooklyn, "Sheepshead Bay - Manhattan Beach - Kings Highway - Gravesend"
316, Brooklyn, "Ocean Hill - Brownsville"
317, Brooklyn, "Flatbush - Rugby - Farragut - Northeast Flatbush"
318, Brooklyn, "Canarsie - Flatlands - Marine Park - Mill Basin - Bergen Beach"
355, Brooklyn, "Park"
356, Brooklyn, "Park"
501, Staten Island, "North Island"
502, Staten Island, "Mid-Island"
503, Staten Island, "South-Island"
595, Staten Island, "Park"
401, Queens, "Astoria & Long Island City"
402, Queens, "Sunnyside & Woodside"
403, Queens, "Jackson Heights - East Elmhurst - North Corona"
404, Queens, "Elmhurst & Corona"
405, Queens, "Maspeth - Middle Village - Ridgewood - Glendale"
406, Queens, "Rego Park & Forest Hills"
407, Queens, "Flushing - Whitestone - College Point"
408, Queens, "Fresh Meadows - Kew Gardens Hills - Jamaica Hills"
409, Queens, "Woodhaven - Richmond Hill - Kew Gardens"
410, Queens, "Howard Beach - Ozone Park - South Ozone Park"
411, Queens, "Bayside - Douglaston - Little Neck - Auburndale"
412, Queens, "Jamaica - South Jamaica - Hollis - St. Albans"
413, Queens, "Laurelton - Cambria Heights - Queens Village - Glen Oaks"
414, Queens, "The Rockaways - Broad Channel"
480, Queens, "Airport"
481, Queens, "Park"
482, Queens, "Park"
483, Queens, "Airport"
484, Queens, "Park"
